bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
2,390000000,avg,1.97849118,24.57800508,1.59e-06,1.978e-05,6.07134551,75.42189863,
2,390000000,avg,,,,,,,8.049844
2,410000000,1,2.13642842,24.82761823,1.52e-06,1.771e-05,6.46860762,75.17224495,
2,410000000,2,2.13243469,24.83703547,1.88e-06,2.194e-05,6.4532626,75.16287026,
2,410000000,3,2.12346545,24.76217757,1.26e-06,1.475e-05,6.45196592,75.23773276,
2,410000000,4,2.13046606,24.81135562,2.07e-06,2.406e-05,6.45618317,75.1885513,
2,410000000,5,2.1237723,24.77217702,1.17e-06,1.366e-05,6.4494375,75.22774794,
2,410000000,avg,2.12931338,24.80210274,1.58e-06,1.843e-05,6.45589136,75.19779946,
2,410000000,avg,,,,,,,8.585213
2,430000000,1,2.16863354,24.37828108,1.27e-06,1.429e-05,6.72711782,75.62161418,
2,430000000,2,2.17662673,24.45645732,1.88e-06,2.116e-05,6.7233719,75.54343419,
2,430000000,3,2.16962985,24.4321147,1.27e-06,1.433e-05,6.71059819,75.56777712,
2,430000000,4,2.17594697,24.48594584,1.92e-06,2.156e-05,6.71055674,75.51393985,
2,430000000,5,2.18965205,24.60431658,1.61e-06,1.813e-05,6.70980128,75.39557475,
2,430000000,avg,2.17609783,24.47144344,1.59e-06,1.789e-05,6.71628919,75.52844768,
2,430000000,avg,,,,,,,8.892397
2,450000000,1,2.31937844,24.71425715,1.2e-06,1.283e-05,7.06539143,75.28564463,
2,450000000,2,2.32938551,24.77484064,2.14e-06,2.28e-05,7.0728271,75.22505972,
2,450000000,3,2.32353885,24.69715661,1.24e-06,1.319e-05,7.08457463,75.30274318,
2,450000000,4,2.32708953,24.74208335,2.08e-06,2.214e-05,7.07829096,75.25781147,
2,450000000,5,2.32020152,24.68411499,1.34e-06,1.429e-05,7.0793635,75.31579546,
2,450000000,avg,2.32391877,24.72249391,1.6e-06,1.705e-05,7.07608953,75.27740753,
2,450000000,avg,,,,,,,9.400018
2,470000000,1,2.44355172,24.81181088,1.34e-06,1.363e-05,7.40477955,75.18809124,
2,470000000,2,2.45448998,24.89806933,2.45e-06,2.489e-05,7.40365382,75.10182873,
2,470000000,3,2.44676609,24.81761055,1.2e-06,1.219e-05,7.41221546,75.18228941,
2,470000000,4,2.44063164,24.86258042,2.01e-06,2.043e-05,7.37584474,75.13732507,
2,470000000,5,2.43315964,24.82855435,1.18e-06,1.208e-05,7.36667656,75.17136405,
2,470000000,avg,2.44371982,24.84373304,1.64e-06,1.665e-05,7.39263403,75.15617175,
2,470000000,avg,,,,,,,9.836363
4,50000000,1,0.26283492,24.914708,1.27e-06,0.00012055,0.79209489,75.08444017,
4,50000000,2,0.2634867,24.89170182,1.85e-06,0.00017522,0.79503846,75.10762525,
4,50000000,3,0.26274294,24.70748545,1.17e-06,0.00011013,0.80066323,75.29174767,
4,50000000,4,0.26047325,24.71591247,2.17e-06,0.00020617,0.79338832,75.28341683,
4,50000000,5,0.25999542,24.70123411,1.18e-06,0.00011224,0.79255845,75.29814037,
4,50000000,avg,0.26190665,24.78620632,1.53e-06,0.00014483,0.79474867,75.213076,
4,50000000,avg,,,,,,,1.056663
